,username,comment,rating
57,n*****3,"Alhamdulillah barang sudah sampai, harga 99 rb udab dapat sepatu yg bagus, nyaman, dan kerenn. Makasihh.",5
58,2*****a,"Tampilan:good performa
Warna:elegan

Sesuai dengan ekspetasi, ukuran pas, aerostreet emang lokal tak gentar banget dah... Top 🚀🚀 
Pengiriman cepat mantap jelas padat good momen... Makasih seller aerostreet, semoga makin sukses, kualitas makin mantap",5
59,r*****3,"Tampilan:Ok mantap, keren sepatunya. sesuai pesanan, pengiriman cepat.. thenks seller..
Warna:hitam

Rekomen banget sepatunya",5
60,ayyyxv,"puaasss, ga kecewa sama sekaliii.. murah tapi kualitas ga murahan😭👍🏻👍🏻 soll sepatunya menurutku ga keras ky review org2 & malah cenderung lembut bgt menurut aku ya.. next pngn beli lgii disini,, jgn ragu ya buat belii soalnya emng bagus kek reviewnyaaa",5
61,dhelimasyifa,"Sepatu nya bagus, tebal, sesuai dengan foto produk. Syukur lah ukuran pas dengan kaki. Udah deg degan takut kebesaran atau kekecilan wkkwkw. Seller baik dan ramah. Kecepatan pengiriman standar 3 hari. Semoga bisa awet!! Thank you so much!!",5
62,v*****8,"Alhamdulillah sayang ditunggu-tunggu akhirnya sampai juga, sepatunya pas sekali di aku , nyaman ,jahitan rapi, lem rapi, empuk juga. Pokonya mantul deh.",5
63,t*****6,"Alhamdulillah estimasi pengiriman 3 hari sudah sampai, kurirnya ramah dan sepatunya berkualitas bagus. 

Sukses terus aerostreet 😊👍🏼",5
64,a*****e,"Tampilan:bagus
Warna:bagus

Lokal tak gentar, nice product, worth it banget dengan harga segitu. Ga nyesel dan merasa puas banget dengan produknya. Cuman sayangnya untuk packagingnya tidak ditambahkan dengan plastik hitam/putih, agak rawan sebenernya kalau dalam pengiriman, karna yg lain bakal tau apa isi dalam paketnya. Overall its good, kalau bisa packagingnya ditambah plastik hitam/putih, jangan cuman plastik bening agar menghindari kejadian2 yg tidak diinginkan.",5
65,liliaaa_23,"Warna:hitam, sol putih

Semuanya baik, namun ada beberapa jahitan yg kurang rapi.",5
66,muhamadabdu15,"Warna:hitam putih
Tampilan:bagus

Alhamdulillah barangnya sampai dengan kondisi aman dan sesuai dengan pesanan. Barangnya juga bagus bangetttt tersebut terimakasih.",5
67,muhammadyusuf11172,"Tampilan:bagusss sekali
Warna:bagusss

Baguss kualitas mantul",5
68,l*****7,"Tampilan:bagus tapi jahitan kurang rapi
Warna:hitam

Barang bagus, namun jahitan pada sepatunya kurang rapi, ada yg berserabut.
Pengiriman lambat",5
69,d*****4,"Warna:normal
Tampilan:bagus

Sepatunya bagus bahannya juga bagus desainnya bagus bantalan sepatu juga sangat empuk sehingga nyaman untuk dipake aslinya ukuran sepatu aku 39 tapi karena 39 kosong jadi pesen yang 38 tapi gpp masih bisa muat dipake",5
70,,"Tampilan:bagus realpict
Warna:sesuai di gambar

Bagus banget woeyy harga terjangkau jugaa, bagus mantap lah pokoke, ukuran 38 pas di aku, gak kekecilan jg",5
71,rayhantsaqif,"Keren banget sihh sumpahh pokonya ga rugi beli malah pen beli lagi sihh karena harganya juga itu termasuk murah dan kualitas barangnya sangat"" bagus dan keren dan hampir sama lah sama merek sebelah yg harganya cukup mahal",5
72,r*****4,"Wuih, dengan harga terjangkau seratus ribuan aja udah dapet sepatu yg bagus. Box nya ga penyok sama sekali, pengirimannya cepet. Harus di pertahankan produk lokal yg harganya pas di kantong, ga harus yg mahal kalau cmn untuk alas kaki yg penting nyaman di pakai, dan semoga awet #LoKaLtaKgeNtaR👟",5
73,f*****a,"Tampilan:mantap
Warna:hitam

Mantap siana memang mantap bosku mantap memang, andalanku mantap, menggunakan mantap, mantap lagi.",5
74,firda_chr,"Akhirnya dapet juga setelah kemarin yg canvas ga dapet2 :"") Bagus sepatunya, pengiriman cepet bgt. ",5
75,rafifhardy,"asli gapernah nyesel beli disiniiii! pengiriman cepat, barang gaada obat!! joss lahh ra rewel!!",5
